sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-01-20;"3,568.72";"3,505.96";"3,541.50";;1;
2026-01-19;"3,636.26";"3,589.11";"3,595.17";;1;
2026-01-16;"3,706.36";"3,673.94";"3,676.29";;1;
2026-01-15;"3,745.90";"3,682.16";"3,693.62";;1;
2026-01-14;"3,734.62";"3,685.72";"3,720.75";;1;
2026-01-13;"3,693.19";"3,656.22";"3,668.36";;1;
2026-01-12;"3,724.82";"3,676.17";"3,682.25";;1;
2026-01-09;"3,743.19";"3,696.03";"3,730.44";;1;
2026-01-08;"3,741.69";"3,713.46";"3,719.55";;1;
2026-01-07;"3,714.84";"3,655.30";"3,714.84";;1;
2026-01-05;"3,600.68";"3,572.56";"3,582.09";;1;
2026-01-02;"3,659.97";"3,595.06";"3,595.06";;1;
2025-12-30;"3,645.44";"3,627.62";"3,642.17";;1;
2025-12-29;"3,648.45";"3,619.67";"3,644.86";;1;
2025-12-23;"3,636.06";"3,616.08";"3,617.92";;1;
2025-12-22;"3,615.20";"3,582.81";"3,612.94";;1;
2025-12-19;"3,606.47";"3,568.89";"3,605.82";;1;
2025-12-18;"3,572.78";"3,544.03";"3,567.98";;1;
2025-12-17;"3,604.60";"3,564.72";"3,585.47";;1;
2025-12-16;"3,614.18";"3,575.63";"3,579.07";;1;
2025-12-15;"3,616.71";"3,579.76";"3,607.99";;1;
2025-12-12;"3,642.04";"3,601.16";"3,606.13";;1;
2025-12-11;"3,637.60";"3,608.77";"3,631.57";;1;
2025-12-10;"3,630.42";"3,587.16";"3,605.08";;1;
2025-12-09;"3,677.31";"3,602.85";"3,607.47";;1;
2025-12-08;"3,679.23";"3,645.16";"3,651.29";;1;
2025-12-05;"3,704.67";"3,668.61";"3,673.33";;1;
2025-12-04;"3,682.26";"3,647.19";"3,672.21";;1;
2025-12-03;"3,680.05";"3,627.27";"3,640.83";;1;
2025-12-02;"3,697.48";"3,671.80";"3,673.62";;1;
2025-12-01;"3,748.62";"3,704.87";"3,712.31";;1;
2025-11-28;"3,768.23";"3,741.83";"3,751.24";;1;
2025-11-27;"3,789.62";"3,755.41";"3,764.96";;1;
2025-11-26;"3,765.05";"3,726.78";"3,756.16";;1;
2025-11-25;"3,727.99";"3,665.34";"3,723.93";;1;
2025-11-24;"3,686.06";"3,644.66";"3,682.14";;1;
2025-11-21;"3,636.05";"3,579.38";"3,636.05";;1;
2025-11-20;"3,644.53";"3,614.96";"3,616.03";;1;
2025-11-19;"3,637.18";"3,599.48";"3,612.62";;1;
2025-11-18;"3,660.61";"3,592.63";"3,605.05";;1;
2025-11-17;"3,681.26";"3,647.28";"3,658.13";;1;
2025-11-14;"3,676.69";"3,631.82";"3,676.38";;1;
2025-11-13;"3,691.08";"3,660.40";"3,664.78";;1;
2025-11-12;"3,678.61";"3,653.28";"3,669.01";;1;
2025-11-11;"3,659.63";"3,611.90";"3,657.64";;1;
2025-11-10;"3,616.38";"3,587.16";"3,596.68";;1;
2025-11-07;"3,580.43";"3,544.41";"3,558.85";;1;
2025-11-06;"3,575.15";"3,518.78";"3,557.97";;1;
2025-11-05;"3,577.09";"3,537.27";"3,538.83";;1;
2025-11-04;"3,596.77";"3,546.99";"3,587.48";;1;
2025-11-03;"3,620.97";"3,578.02";"3,578.02";;1;
2025-10-31;"3,634.25";"3,602.41";"3,609.96";;1;
2025-10-30;"3,624.51";"3,601.84";"3,624.15";;1;
2025-10-29;"3,636.95";"3,603.24";"3,616.37";;1;
2025-10-28;"3,642.10";"3,597.88";"3,602.13";;1;
2025-10-27;"3,638.57";"3,610.33";"3,634.31";;1;
2025-10-24;"3,637.50";"3,601.43";"3,621.08";;1;
2025-10-23;"3,608.96";"3,589.97";"3,608.27";;1;
2025-10-22;"3,613.21";"3,574.99";"3,603.35";;1;
2025-10-21;"3,600.34";"3,568.59";"3,598.09";;1;
2025-10-20;"3,600.44";"3,562.95";"3,578.72";;1;
2025-10-17;"3,595.91";"3,542.87";"3,580.94";;1;
2025-10-16;"3,587.90";"3,563.37";"3,583.98";;1;
2025-10-15;"3,578.80";"3,537.21";"3,567.75";;1;
2025-10-14;"3,575.42";"3,550.28";"3,560.12";;1;
2025-10-13;"3,617.35";"3,564.03";"3,585.71";;1;
2025-10-10;"3,645.45";"3,586.56";"3,586.56";;1;
2025-10-09;"3,644.31";"3,617.06";"3,639.81";;1;
2025-10-08;"3,660.35";"3,636.32";"3,639.88";;1;
2025-10-07;"3,657.82";"3,636.52";"3,641.61";;1;
2025-10-06;"3,671.22";"3,639.90";"3,659.11";;1;
2025-10-03;"3,636.41";"3,596.41";"3,621.92";;1;
2025-10-02;"3,630.10";"3,572.23";"3,583.74";;1;
2025-10-01;"3,586.54";"3,476.89";"3,577.83";;1;
2025-09-30;"3,445.89";"3,395.97";"3,445.89";;1;
2025-09-29;"3,420.75";"3,388.43";"3,408.93";;1;
2025-09-26;"3,389.34";"3,341.85";"3,382.08";;1;
2025-09-25;"3,418.73";"3,379.87";"3,379.87";;1;
2025-09-24;"3,452.32";"3,425.06";"3,434.39";;1;
2025-09-23;"3,507.84";"3,471.47";"3,472.39";;1;
2025-09-22;"3,512.53";"3,492.62";"3,506.22";;1;
2025-09-19;"3,523.50";"3,487.17";"3,514.18";;1;
2025-09-18;"3,491.89";"3,471.96";"3,477.36";;1;
2025-09-17;"3,483.58";"3,462.21";"3,466.74";;1;
2025-09-16;"3,513.63";"3,474.57";"3,474.57";;1;
2025-09-15;"3,530.17";"3,471.53";"3,471.53";;1;
2025-09-12;"3,576.71";"3,532.38";"3,532.38";;1;
2025-09-11;"3,561.20";"3,533.92";"3,547.20";;1;
2025-09-10;"3,584.63";"3,525.50";"3,530.05";;1;
2025-09-09;"3,574.65";"3,542.48";"3,565.28";;1;
2025-09-08;"3,580.99";"3,533.97";"3,566.04";;1;
2025-09-05;"3,585.14";"3,558.22";"3,568.35";;1;
2025-09-04;"3,590.08";"3,556.87";"3,576.96";;1;
2025-09-03;"3,592.52";"3,543.55";"3,582.03";;1;
2025-09-02;"3,586.59";"3,525.92";"3,531.26";;1;
2025-09-01;"3,612.38";"3,572.49";"3,586.08";;1;
2025-08-29;"3,615.83";"3,577.03";"3,581.53";;1;
2025-08-28;"3,635.03";"3,599.35";"3,606.24";;1;
2025-08-27;"3,627.01";"3,601.54";"3,613.97";;1;
2025-08-26;"3,657.52";"3,608.57";"3,608.57";;1;
2025-08-25;"3,641.24";"3,606.09";"3,606.89";;1;
2025-08-22;"3,642.69";"3,598.40";"3,628.04";;1;
2025-08-21;"3,612.92";"3,580.84";"3,611.73";;1;
2025-08-20;"3,595.19";"3,547.27";"3,587.49";;1;
2025-08-19;"3,568.58";"3,532.10";"3,554.54";;1;
2025-08-18;"3,543.14";"3,522.05";"3,539.57";;1;
2025-08-15;"3,518.13";"3,497.24";"3,510.89";;1;
2025-08-14;"3,509.74";"3,492.63";"3,503.92";;1;
2025-08-13;"3,499.79";"3,471.79";"3,499.79";;1;
2025-08-12;"3,485.48";"3,453.38";"3,461.40";;1;
2025-08-11;"3,471.99";"3,455.16";"3,467.16";;1;
2025-08-08;"3,483.18";"3,440.70";"3,443.01";;1;
2025-08-07;"3,467.18";"3,425.80";"3,462.68";;1;
2025-08-06;"3,506.24";"3,444.65";"3,449.17";;1;
2025-08-05;"3,506.35";"3,486.05";"3,496.42";;1;
2025-08-04;"3,469.02";"3,439.60";"3,469.02";;1;
2025-08-01;"3,484.51";"3,428.71";"3,454.61";;1;
2025-07-31;"3,611.94";"3,538.92";"3,539.36";;1;
2025-07-30;"3,589.77";"3,563.07";"3,586.76";;1;
2025-07-29;"3,625.30";"3,542.16";"3,571.66";;1;
2025-07-28;"3,596.96";"3,527.41";"3,535.67";;1;
2025-07-25;"3,555.74";"3,524.42";"3,547.08";;1;
2025-07-24;"3,569.54";"3,515.57";"3,552.88";;1;
2025-07-23;"3,489.54";"3,434.37";"3,485.03";;1;
2025-07-22;"3,411.80";"3,375.97";"3,397.69";;1;
2025-07-21;"3,434.97";"3,400.99";"3,405.11";;1;
2025-07-18;"3,470.50";"3,432.06";"3,438.26";;1;
2025-07-17;"3,490.65";"3,450.58";"3,467.33";;1;
2025-07-16;"3,511.25";"3,475.55";"3,484.62";;1;
2025-07-15;"3,553.12";"3,504.35";"3,507.32";;1;
2025-07-14;"3,513.70";"3,466.32";"3,513.70";;1;
2025-07-11;"3,528.25";"3,461.34";"3,461.34";;1;
2025-07-10;"3,538.11";"3,489.25";"3,536.63";;1;
2025-07-09;"3,479.25";"3,440.76";"3,469.65";;1;
2025-07-08;"3,462.04";"3,425.04";"3,462.04";;1;
2025-07-07;"3,474.87";"3,444.48";"3,447.12";;1;
2025-07-04;"3,473.68";"3,421.54";"3,466.27";;1;
2025-07-03;"3,471.77";"3,431.07";"3,445.19";;1;
2025-07-02;"3,443.27";"3,400.65";"3,436.35";;1;
2025-07-01;"3,436.07";"3,390.71";"3,429.41";;1;
2025-06-30;"3,428.60";"3,400.99";"3,412.56";;1;
2025-06-27;"3,409.16";"3,369.55";"3,406.68";;1;
2025-06-26;"3,378.58";"3,349.16";"3,359.37";;1;
2025-06-25;"3,389.48";"3,350.64";"3,352.12";;1;
2025-06-24;"3,404.86";"3,353.41";"3,365.00";;1;
2025-06-23;"3,359.52";"3,315.46";"3,349.27";;1;
2025-06-19;"3,360.34";"3,330.72";"3,344.68";;1;
2025-06-18;"3,374.32";"3,337.88";"3,366.96";;1;
2025-06-17;"3,405.44";"3,361.77";"3,369.26";;1;
2025-06-16;"3,442.28";"3,403.77";"3,425.17";;1;
2025-06-13;"3,437.99";"3,407.20";"3,419.21";;1;
2025-06-12;"3,501.38";"3,446.74";"3,460.55";;1;
2025-06-11;"3,506.71";"3,481.34";"3,501.88";;1;
2025-06-10;"3,526.92";"3,496.69";"3,504.95";;1;
2025-06-09;"3,546.52";"3,526.01";"3,534.83";;1;
2025-06-05;"3,514.65";"3,461.69";"3,514.65";;1;
2025-06-04;"3,478.08";"3,404.90";"3,473.63";;1;
2025-06-03;"3,407.49";"3,383.15";"3,401.64";;1;
2025-06-02;"3,390.50";"3,346.46";"3,381.35";;1;
2025-05-30;"3,383.77";"3,323.43";"3,377.77";;1;
2025-05-28;"3,358.86";"3,342.43";"3,344.77";;1;
2025-05-27;"3,379.10";"3,356.53";"3,359.97";;1;
2025-05-26;"3,351.88";"3,331.20";"3,349.58";;1;
2025-05-23;"3,369.39";"3,269.58";"3,304.77";;1;
2025-05-22;"3,397.32";"3,321.96";"3,331.62";;1;
2025-05-21;"3,417.70";"3,387.51";"3,411.87";;1;
2025-05-20;"3,420.41";"3,394.84";"3,405.78";;1;
2025-05-19;"3,406.53";"3,374.15";"3,402.50";;1;
2025-05-16;"3,406.54";"3,378.22";"3,399.96";;1;
2025-05-15;"3,370.01";"3,331.64";"3,370.01";;1;
